Year,Song,Artist,Genre
1975,Love Will Keep US Together,Captain and Tennille,Pop
1976,Silly Love Songs,Wings,Soft Rock
1977,Tonights the Night,Rod Stewart,Soft Rock
1978,Shadow Dancing,Andy Gibb,Soft Rock
1979,My Sharona,The Knack,Pop
1980,Call Me,Blondie,Pop
1981,Bette Davis Eyes,Kim Carnes,Pop
1982,Physical,Olivia Newton-John,Pop
1983,Every Breath You Take,The Police,Pop
1984,When Doves Cry,Prince,Rock
1985,Carless Whisper,Wham!,Pop
1986,That's What Friends are For,Dionne and Friends,R&B
1987,Walk Like an Egyptian,The Bangles,Novelty
1988,Faith,George Michael,Pop
1989,Look Away,Chicago,Rock
1990,Hold On,Wilson Phillips,Soft Rock
1991,I do it for you,Bryan Adams,Rock
1992,End of the Road,Boyz 2 Men,R&B
1993,I Will Always Love You,Whitney Houston,R&B
1994,The Sign,Ace of Base,Pop
1995,Gangsta's Paradise,Coolio,Rap
1996,Macarena,Los del Rio,Novelty
1997,Candle in the Wind,Elton John,Novelty
1998,Too Close,Next,R&B
1999,Believe,Cher,R&B
2000,Breathe,Faith Hill,Country
2001,Hanging by a Moment,Lifehouse,Rock
2002,How You Remind Me,Nickelback,Rock
2003,In Da Club,50 Cent,Rap
2004,Yeah!,Usher Lil John Ludachris,Rap
2005,We Belong Together,Mariah Carey,R&B
2006,Bad Day,Daniel Powter,Novelty
2007,Irreplaceable,Beyonce,R&B
2008,Low,Flo Rida T-Pain,Rap
2009,Boom Boom Pow,Black Eyed Peas,Rap
2010,Tik Tok,Ke$ha,Pop
2011,Rolling in the Deep,Adele,Pop
2012,Somebody That I Used to Know,Gotye Kimbra,Pop
2013,Thrift Shop,Mackelmore Ryan Lewis Wanz,Rap
2014,Happy,Pharelle Williams,Pop
2015,Uptown Funk,Mark Ronson Bruno Mars,R&B
2016,Love Yourself,Justin Bieber,Pop
2017,Shape of You,Ed Sheeran,Soft Rock
2018,God's Plan,Drake,Rap
2019,Old Town Road,Lil Nas X Billy Ray Cyrus,Novelty
2020,Blinding Lights,The Weeknd,R&B
2021,Levitating,Dua Lipa,Pop
2022,As It Was,Harry Styles,Pop